,electricity
309,0.8587707027929773
310,0.8831269379170446
311,0.9056551323720425
312,0.9209358861778302
313,0.9314425035960925
314,0.9375475172124337
315,0.9379125235171543
316,0.9328035326490101
317,0.9167106076863942
318,0.8859332864440594
319,0.867190630263389
320,0.872135988360056
321,0.8824451947193321
322,0.8920745771464516
323,0.8964623293982513
324,0.8913820973997876
325,0.8713424059533463
326,0.8270973215521082
327,0.7477548739655461
328,0.6312870861137565
329,0.4929583579624481
330,0.3330543377309826
331,0.15872365273583924
332,0.06207561645087391
333,0.03846156710872031
334,0.038708708372328905
335,0.04482350611809749
336,0.06326698639915003
337,0.09881290946485215
338,0.2504300448734129
339,0.5049177386020316
340,0.7389759843068769
341,0.8851530589764341
342,0.9547233494396159
343,0.9769522531214785
344,0.97886300288319
345,0.9832137573349631
346,0.9023231628644883
347,0.8448698759528295
348,0.8492942330446398
349,0.8342766585250785
350,0.8163813309046726
351,0.8387026023368787
352,0.8628709313123719
353,0.8849905371288139
354,0.9101870021824318
355,0.9494331139353782
356,0.9767962781678365
357,0.9823959574372924
358,0.9615666674733907
359,0.9081925881909437
360,0.8146838366407826
361,0.6739034757023061
362,0.47559138354865393
363,0.2471755556726095
364,0.08396590083827556
365,0.04090438993986476
366,0.03981510308662135
367,0.06792135847553722
368,0.24186585048992829
369,0.6217818301662683
370,0.8680667478958132
371,0.9510495164402645
372,0.9706695100539856
373,0.9703857404375497
374,0.9642098607588576
375,0.9636170143752799
376,0.9537481120739962
377,0.9573457488365612
378,0.9744057209302078
379,0.9740705542618245
380,0.8172341135403298
381,0.49905332006503483
382,0.36096089958206384
383,0.33493915855416156
384,0.4261835714046295
385,0.5742822836106706
386,0.7344365413676809
387,0.8713964674342299
388,0.9577273990607159
389,0.9828059458153972
390,0.972693315892313
391,0.9380447802251317
392,0.8846492088336481
393,0.8251743157354269
394,0.7632501695946223
395,0.7063337276494456
396,0.66383945898241
397,0.616084595406346
398,0.5769379075221605
399,0.5714185480222753
400,0.5839354213585006
401,0.6070541459782088
402,0.6453084591218102
403,0.6700319623568236
404,0.6924881239623015
405,0.7521742182431089
406,0.8466774390529769
407,0.9181540723391466
408,0.9466386050131925
409,0.953189221056425
410,0.9516324213448792
411,0.9524427504943956
412,0.9560172629249803
413,0.9585898405019923
414,0.9458834187756101
415,0.9284602973542299
416,0.8959478031083278
417,0.8444933718962467
418,0.795937363733433
419,0.7445833648769881
420,0.6541034088353707
421,0.5580520640747537
422,0.5113413698176964
423,0.5475250695638447
424,0.6071766535927161
425,0.6607235231099662
426,0.7082688951905629
427,0.7303272505697662
428,0.7570285391717628
429,0.7687161394467339
430,0.7511962584362473
431,0.7616327358855407
432,0.881588518409814
433,0.9631151886609095
434,0.9755687173522919
435,0.967820876434072
436,0.9478663746188215
437,0.9038827900260002
438,0.8260223407172945
439,0.724643971752831
440,0.6030043431853042
441,0.46813502959137343
442,0.2958676840642111
443,0.1130087416492007
444,0.011421019389926063
445,0.006094669115310448
446,0.045563682758800975
447,0.14350177584229346
448,0.2523290378542907
449,0.37117608616915204
450,0.48060767080602845
451,0.5550131882086293
452,0.6020205394267195
453,0.6532865472799123
454,0.7185778413916677
455,0.7890575980563014
456,0.8557180608718793
457,0.904844238298163
458,0.9360003231767043
459,0.9522608955505981
460,0.9619024837641792
461,0.9685789959575856
462,0.9727076262637118
463,0.9758467038391263
464,0.9783973394919464
465,0.9798580656676288
466,0.9814325023889141
467,0.9829733727007326
468,0.9826863740885743
469,0.9762800587811923
470,0.9650331510608446
471,0.9544706651868634
472,0.9461708671698144
473,0.9432835262324092
474,0.94896762024293
475,0.9595022670894524
476,0.9697893028914866
477,0.9771589292866661
478,0.9819122537500866
479,0.9831799745149719
480,0.9808758486328377
481,0.9754831026483962
482,0.9664444971301757
483,0.9537733654768913
484,0.933896143385696
485,0.9020827296682375
486,0.8463267443900467
487,0.7749289308804694
488,0.7441852478933448
489,0.7606780683617729
490,0.7219338533311507
491,0.6052150146482266
492,0.5471436873530393
493,0.5969664281474079
494,0.7054714552081722
495,0.7931692165668692
496,0.8307462515535072
497,0.8575159209780642
498,0.8938161897343014
499,0.9241504747595988
500,0.9479228425553113
501,0.9637562540466078
502,0.9722885885678617
503,0.9761899687229634
504,0.9804001200242274
505,0.9832182113034118
506,0.9809250474493179
507,0.9766865572054284
508,0.9766313060019748
509,0.9789086846175049
510,0.9822494954134489
511,0.9830435785617486
512,0.9799070080316691
513,0.9736983959046968
514,0.9653653207403157
515,0.9551422955486981
516,0.9444635161385323
517,0.9382756241109739
518,0.9389635494869247
519,0.9452367934704216
520,0.9511027780683952
521,0.9564485747465543
522,0.9528816868186328
523,0.9430097886245169
524,0.9349730186871565
525,0.9180275748093014
526,0.8849853070140444
527,0.8546444702242574
528,0.8782873266040201
529,0.9247012470699215
530,0.9528816868186328
531,0.968012326596045
532,0.9778166815792676
533,0.9829426686840241
534,0.9641792090190031
535,0.9236776835081946
536,0.8769455893848637
537,0.8230647228441387
538,0.7926422613324071
539,0.7654372278023239
540,0.7737550004227234
541,0.8033596404441044
542,0.8218893237261615
